MonoMass	MinElutionTime	MaxElutionTime	CV40_H3_C1_Abundance	CV40_H3_C2_Abundance	CV40_H3_C3_Abundance	CV40_H3_C4_Abundance	CV40_H3_C5_Abundance	CV40_H4_A1_Abundance	CV40_H4_A2_Abundance	CV40_H4_A3_Abundance	CV40_H4_A4_Abundance	CV40_H3_C1_Ms1Score	CV40_H3_C2_Ms1Score	CV40_H3_C3_Ms1Score	CV40_H3_C4_Ms1Score	CV40_H3_C5_Ms1Score	CV40_H4_A1_Ms1Score	CV40_H4_A2_Ms1Score	CV40_H4_A3_Ms1Score	CV40_H4_A4_Ms1Score	CV40_H3_C1_FeatureId	CV40_H3_C2_FeatureId	CV40_H3_C3_FeatureId	CV40_H3_C4_FeatureId	CV40_H3_C5_FeatureId	CV40_H4_A1_FeatureId	CV40_H4_A2_FeatureId	CV40_H4_A3_FeatureId	CV40_H4_A4_FeatureId
2008.00271	18.464	19.508	40067.29	11975.94	1617.509	13123.39	3813.577	6479.536	2718.229	15676.3	2429.389	-3.402823E+38	-3.402823E+38	-1597.414	24.5067	-1588.082	-3.402823E+38	-2511.955	-1580.574	-1599.056	0	0	0	1	0	0	0	0	0
2017.2832	114.5	115.421	14705.01	17325.73	1377.681	18118.77	22581.9	14084.9	23535.98	26018.82	439.1866	62.7098	-3.402823E+38	-1800.593	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-1826.865	1	0	0	0	0	0	0	0	0
2018.27525	116.562	117.284	6002.1	1014.773	544015.3	463.3795	58063.19	928.0612	330.1202	1.275888E+06	122819.2	24.5807	-1814.501	-3.402823E+38	-1820.942	-3.402823E+38	-2514.035	-2521.339	-3.402823E+38	-3.402823E+38	2	0	0	0	0	0	0	0	0
2018.3161	119.315	119.743	3770.02	52183.76	22144.32	39117.5	374.512	8213.406	56675.64	109008.8	41547.72	31.8282	-3.402823E+38	-3.402823E+38	-3.402823E+38	-2511.6	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	3	0	0	0	0	0	0	0	0
2019.02262	38.375	39.713	242559.1	57596.82	29152.31	38387.66	349583.4	7957.805	121202.9	88982.75	52371.15	-1805.686	-2508.491	26.13555	-2515.869	13.0688	-1814.015	31.04863	-3.402823E+38	-1800.755	0	0	0	0	1	0	0	0	0
2020.80765	37.845	39.514	153351.3	78182.05	78957.95	77364.63	39982.58	21892.69	93284.99	71065.18	164956.4	-3.402823E+38	-3.402823E+38	-3.402823E+38	16.9591	5.4063	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	0	0	0	2	2	0	0	0	0
2027.14379	56.467	57.544	163895.7	65842.94	356449.6	480166.4	395691.6	266883.7	1.033031E+06	484600.2	647614.5	43.3449	-1592.211	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	4	0	0	0	0	0	0	0	0
2035.97745	58.318	59.269	709778.4	561610.9	477990.7	415532.3	200200.8	88755.82	476919.5	123802.6	271733.8	-1594.028	-1592.025	-1592.965	-1592.075	-2510.178	16.6823	-1596.895	-1588.493	-1591.517	0	0	0	0	0	1	0	0	0
2037.1837	11.468	12.729	38407.54	12254.19	13198.37	18454.44	3040.74	6987.466	3675.544	2367.997	3290.251	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	22.738	-3.402823E+38	-1602.343	-2516.536	13.69561	0	0	0	0	3	0	0	0	0
2061.02101	37.276	38.457	178876.3	185095.6	247852	176766.9	90386.83	37182.08	217925.7	91857.54	135910.8	-1577.361	22.6559	-1576.205	-1575.78	-1577.418	-1575.982	62.5573	37.0663	-1575.683	0	1	0	0	0	0	1	1	0
2061.30567	114.74	115.147	14897.27	3617.988	1496.156	935.0777	754.5377	770.3066	156.1327	213.6138	319.452	53.4069	-1797.99	-1800.932	-1806.812	-1813.632	-1806.375	-2523.635	-1816.908	-1820.085	5	0	0	0	0	0	0	0	0
2062.02223	36.913	38.419	108140.4	132693.7	191389.1	122201	85071.68	23115.83	159040.2	43337	92672.81	-1590.497	-1594.338	20.2468	-1592.12	34.5355	-1591.14	-1590.479	-1593.324	-1590.546	0	0	1	0	4	0	0	0	0
2062.3132	114.828	115.327	936.65	6087.954	5804.956	7263.029	10381.18	7104.932	12379.23	13753.67	11727.56	24.1883	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	-3.402823E+38	6	0	0	0	0	0	0	0	0
